Condition,Mean % Error,Std Dev,Mean |% Error|
Control Error,1.3956756756756754,2.6025442044922764,2.206486486486486
Baseline Error,14.964324324324327,10.791852003695642,15.036216216216218
Length 200 Error,23.06756756756757,18.51994501512797,24.283783783783782
Length 400 Error,9.155405405405405,9.724030827055492,10.533783783783784
Thick 1px Error,14.702432432432433,10.51745411880371,15.099189189189188
Thick 5px Error,13.486486486486486,11.896631926776639,14.387027027027028
Fins 2 Error,15.089459459459459,11.864413631141272,16.026756756756754
Angle 30 Error,14.00864864864865,12.993043900094765,15.089729729729727
Angle 150 Error,-16.90081081081081,10.767593452985155,17.045135135135137
Brentano Error,-4.575675675675674,1.7319554467911897,4.575675675675674
